cve_ent|year|month|homicides|pop_est|homicide_rate
01|2011|4|13|1185121.301779634|13.355172990505425
01|2011|5|10|1185121.301779634|9.941816121964337
01|2011|6|12|1185121.301779634|12.327851991235777
01|2011|7|7|1185121.301779634|6.959271285375036
01|2011|8|1|1185121.301779634|0.9941816121964338
01|2011|9|6|1185121.301779634|6.1639259956178885
01|2011|10|6|1185121.301779634|5.9650896731786025
01|2011|11|3|1185121.301779634|3.0819629978089442
01|2011|12|6|1185121.301779634|5.9650896731786025
01|2012|1|2|1185240.5677765375|1.9881631433893898
01|2012|2|6|1185240.5677765375|6.603541869114759
01|2012|3|6|1185240.5677765375|5.964489430168169
01|2012|4|2|1185240.5677765375|2.0544352481690358
01|2012|5|5|1185240.5677765375|4.970407858473474
01|2012|6|4|1185240.5677765375|4.1088704963380716
01|2012|7|3|1185240.5677765375|2.9822447150840845
01|2012|8|2|1185240.5677765375|1.9881631433893898
01|2012|9|4|1185240.5677765375|4.1088704963380716
01|2012|10|4|1185240.5677765375|3.9763262867787796
01|2012|11|6|1185240.5677765375|6.163305744507108
01|2012|12|4|1185240.5677765375|3.9763262867787796
01|2013|1|4|1185359.5056836265|3.975927305774127
01|2013|2|5|1185359.5056836265|5.5023993963838365
01|2013|3|2|1185359.5056836265|1.9879636528870634
01|2013|4|6|1185359.5056836265|6.162687323949896
01|2013|5|1|1185359.5056836265|0.9939818264435317
01|2013|6|2|1185359.5056836265|2.0542291079832986
01|2013|7|7|1185359.5056836265|6.957872785104722
01|2013|8|4|1185359.5056836265|3.975927305774127
01|2013|9|4|1185359.5056836265|4.108458215966597
01|2013|10|2|1185359.5056836265|1.9879636528870634
01|2013|11|6|1185359.5056836265|6.162687323949896
01|2013|12|2|1185359.5056836265|1.9879636528870634
01|2014|1|1|1185478.607635622|0.9938819636750136
01|2014|2|5|1185478.607635622|5.501846584629539
01|2014|3|2|1185478.607635622|1.9877639273500272
01|2014|4|2|1185478.607635622|2.054022724928361
01|2014|5|5|1185478.607635622|4.969409818375068
01|2014|6|8|1185478.607635622|8.216090899713445
01|2014|7|2|1185478.607635622|1.9877639273500272
01|2014|8|3|1185478.607635622|2.9816458910250407
01|2014|9|2|1185478.607635622|2.054022724928361
01|2014|10|8|1185478.607635622|7.951055709400109
01|2014|11|2|1185478.607635622|2.054022724928361
01|2014|12|5|1185478.607635622|4.969409818375068
01|2015|1|7|1185597.7095876182|6.956474846792689
01|2015|2|1|1185597.7095876182|1.1002587767886396
01|2015|3|4|1185597.7095876182|3.975128483881537
01|2015|4|4|1185597.7095876182|4.107632766677588
01|2015|5|5|1185597.7095876182|4.968910604851922
01|2015|6|7|1185597.7095876182|7.188357341685778
01|2015|7|2|1185597.7095876182|1.9875642419407684
01|2015|8|2|1185597.7095876182|1.9875642419407684
01|2015|9|4|1185597.7095876182|4.107632766677588
01|2015|10|3|1185597.7095876182|2.9813463629111525
01|2015|11|3|1185597.7095876182|3.080724575008191
01|2015|12|5|1185597.7095876182|4.968910604851922
01|2016|1|0|1185716.9755845217|0
01|2016|2|5|1185716.9755845217|5.500740533259318
01|2016|3|5|1185716.9755845217|4.968410804234223
01|2016|4|7|1185716.9755845217|7.187634296792178
01|2016|5|6|1185716.9755845217|5.962092965081068
01|2016|6|3|1185716.9755845217|3.0804146986252188
01|2016|7|3|1185716.9755845217|2.981046482540534
01|2016|8|3|1185716.9755845217|2.981046482540534
01|2016|9|4|1185716.9755845217|4.107219598166958
01|2016|10|5|1185716.9755845217|4.968410804234223
01|2016|11|3|1185716.9755845217|3.0804146986252188
01|2016|12|6|1185716.9755845217|5.962092965081068
01|2017|1|4|1185835.9134916102|3.9743299829144494
01|2017|2|3|1185835.9134916102|3.3001132893843197
01|2017|3|4|1185835.9134916102|3.9743299829144494
01|2017|4|4|1185835.9134916102|4.106807649011598
01|2017|5|10|1185835.9134916102|9.935824957286123
01|2017|6|14|1185835.9134916102|14.37382677154059
01|2017|7|4|1185835.9134916102|3.9743299829144494
01|2017|8|9|1185835.9134916102|8.94224246155751
01|2017|9|8|1185835.9134916102|8.213615298023196
01|2017|10|9|1185835.9134916102|8.94224246155751
01|2017|11|5|1185835.9134916102|5.133509561264497
01|2017|12|6|1185835.9134916102|5.961494974371674
01|2018|1|9|1185955.0154436063|8.941344418614461
01|2018|2|6|1185955.0154436063|6.5995637375487695
01|2018|3|4|1185955.0154436063|3.9739308527175385
01|2018|4|8|1185955.0154436063|8.21279042894958
01|2018|5|6|1185955.0154436063|5.960896279076308
01|2018|6|5|1185955.0154436063|5.132994018093487
01|2018|7|6|1185955.0154436063|5.960896279076308
01|2018|8|9|1185955.0154436063|8.941344418614461
01|2018|9|9|1185955.0154436063|9.239389232568277
01|2018|10|2|1185955.0154436063|1.9869654263587693
01|2018|11|6|1185955.0154436063|6.159592821712184
01|2018|12|6|1185955.0154436063|5.960896279076308
