pop_est|est_date|ent_mun|month|year|day
643447.8052616193|2000.4972677595629|01001|7|2000|1
643524.0966003443|2001.495890410959|01001|7|2001|1
643600.4931637692|2002.495890410959|01001|7|2002|1
643676.8897271942|2003.495890410959|01001|7|2003|1
643753.3915153191|2004.4972677595629|01001|7|2004|1
643829.6828540441|2005.495890410959|01001|7|2005|1
643906.0794174691|2006.495890410959|01001|7|2006|1
643982.47598089406|2007.495890410959|01001|7|2007|1
644058.977769019|2008.4972677595629|01001|7|2008|1
644135.269107744|2009.495890410959|01001|7|2009|1
797013.9160711874|2010.495890410959|01001|7|2010|1
797089.1458597853|2011.495890410959|01001|7|2011|1
797164.4792660276|2012.4972677595629|01001|7|2012|1
797239.6054369813|2013.495890410959|01001|7|2013|1
797314.8352255793|2014.495890410959|01001|7|2014|1
797390.0650141774|2015.495890410959|01001|7|2015|1
797465.3984204197|2016.4972677595629|01001|7|2016|1
797540.5245913734|2017.495890410959|01001|7|2017|1
797615.7543799713|2018.495890410959|01001|7|2018|1
797690.9841685693|2019.495890410959|01001|7|2019|1
37764.44953719329|2000.4972677595629|01002|7|2000|1
37768.2886668103|2001.495890410959|01002|7|2001|1
37772.13309154034|2002.495890410959|01002|7|2002|1
37775.97751627038|2003.495890410959|01002|7|2003|1
37779.82723611345|2004.4972677595629|01002|7|2004|1
37783.66636573046|2005.495890410959|01002|7|2005|1
37787.510790460496|2006.495890410959|01002|7|2006|1
37791.35521519054|2007.495890410959|01002|7|2007|1
37795.20493503361|2008.4972677595629|01002|7|2008|1
37799.04406465062|2009.495890410959|01002|7|2009|1
45492.15573584851|2010.495890410959|01002|7|2010|1
45495.14750346455|2011.495890410959|01002|7|2011|1
45498.14339178754|2012.4972677595629|01002|7|2012|1
45501.131038696636|2013.495890410959|01002|7|2013|1
45504.122806312684|2014.495890410959|01002|7|2014|1
45507.114573928724|2015.495890410959|01002|7|2015|1
45510.110462251716|2016.4972677595629|01002|7|2016|1
45513.09810916081|2017.495890410959|01002|7|2017|1
45516.08987677686|2018.495890410959|01002|7|2018|1
45519.0816443929|2019.495890410959|01002|7|2019|1
51291.53356622007|2000.4972677595629|01003|7|2000|1
51292.946727529474|2001.495890410959|01003|7|2001|1
51294.36183793922|2002.495890410959|01003|7|2002|1
51295.776948348976|2003.495890410959|01003|7|2003|1
51297.19400785907|2004.4972677595629|01003|7|2004|1
51298.60716916848|2005.495890410959|01003|7|2005|1
51300.022279578225|2006.495890410959|01003|7|2006|1
51301.43738998798|2007.495890410959|01003|7|2007|1
51302.854449498074|2008.4972677595629|01003|7|2008|1
51304.26761080748|2009.495890410959|01003|7|2009|1
54136.106005506415|2010.495890410959|01003|7|2010|1
54138.142427076964|2011.495890410959|01003|7|2011|1
54140.18165350992|2012.4972677595629|01003|7|2012|1
54142.21527021806|2013.495890410959|01003|7|2013|1
54144.25169178861|2014.495890410959|01003|7|2014|1
54146.288113359165|2015.495890410959|01003|7|2015|1
54148.32733979212|2016.4972677595629|01003|7|2016|1
54150.36095650026|2017.495890410959|01003|7|2017|1
54152.39737807081|2018.495890410959|01003|7|2018|1
54154.43379964136|2019.495890410959|01003|7|2019|1
12619.45442212697|2000.4972677595629|01004|7|2000|1
12620.657968648125|2001.495890410959|01004|7|2001|1
12621.863175158784|2002.495890410959|01004|7|2002|1
12623.068381669444|2003.495890410959|01004|7|2003|1
12624.275248169608|2004.4972677595629|01004|7|2004|1
12625.478794690762|2005.495890410959|01004|7|2005|1
12626.684001201422|2006.495890410959|01004|7|2006|1
12627.889207712082|2007.495890410959|01004|7|2007|1
12629.096074212246|2008.4972677595629|01004|7|2008|1
12630.2996207334|2009.495890410959|01004|7|2009|1
15042.05045181856|2010.495890410959|01004|7|2010|1
15043.019657806683|2011.495890410959|01004|7|2011|1
15043.99019872932|2012.4972677595629|01004|7|2012|1
15044.958069782928|2013.495890410959|01004|7|2013|1
15045.927275771051|2014.495890410959|01004|7|2014|1
15046.896481759173|2015.495890410959|01004|7|2015|1
15047.86702268181|2016.4972677595629|01004|7|2016|1
15048.834893735419|2017.495890410959|01004|7|2017|1
15049.804099723542|2018.495890410959|01004|7|2018|1
15050.773305711664|2019.495890410959|01004|7|2019|1
64103.656543356396|2000.4972677595629|01005|7|2000|1
64121.28653785715|2001.495890410959|01005|7|2001|1
64138.94084849803|2002.495890410959|01005|7|2002|1
64156.5951591389|2003.495890410959|01005|7|2003|1
64174.27378591989|2004.4972677595629|01005|7|2004|1
64191.903780420645|2005.495890410959|01005|7|2005|1
64209.55809106152|2006.495890410959|01005|7|2006|1
64227.21240170239|2007.495890410959|01005|7|2007|1
64244.89102848338|2008.4972677595629|01005|7|2008|1
64262.52102298413|2009.495890410959|01005|7|2009|1
99590.78174551751|2010.495890410959|01005|7|2010|1
99605.7994883539|2011.495890410959|01005|7|2011|1
99620.83791585742|2012.4972677595629|01005|7|2012|1
99635.83497402669|2013.495890410959|01005|7|2013|1
99650.85271686308|2014.495890410959|01005|7|2014|1
99665.87045969948|2015.495890410959|01005|7|2015|1
99680.908887203|2016.4972677595629|01005|7|2016|1
99695.90594537226|2017.495890410959|01005|7|2017|1
99710.92368820866|2018.495890410959|01005|7|2018|1
99725.94143104504|2019.495890410959|01005|7|2019|1
34297.418967318474|2000.4972677595629|01006|7|2000|1
34301.17713198172|2001.495890410959|01006|7|2001|1
34304.94048008723|2002.495890410959|01006|7|2002|1
34308.70382819274|2003.495890410959|01006|7|2003|1
34312.47235974051|2004.4972677595629|01006|7|2004|1
34316.230524403756|2005.495890410959|01006|7|2005|1
34319.993872509265|2006.495890410959|01006|7|2006|1
34323.757220614774|2007.495890410959|01006|7|2007|1
34327.525752162546|2008.4972677595629|01006|7|2008|1
34331.28391682579|2009.495890410959|01006|7|2009|1
41862.14903642418|2010.495890410959|01006|7|2010|1
41865.01210457296|2011.495890410959|01006|7|2011|1
41867.87911616465|2012.4972677595629|01006|7|2012|1
41870.73824087051|2013.495890410959|01006|7|2013|1
41873.60130901929|2014.495890410959|01006|7|2014|1
41876.46437716806|2015.495890410959|01006|7|2015|1
41879.331388759754|2016.4972677595629|01006|7|2016|1
41882.19051346561|2017.495890410959|01006|7|2017|1
41885.05358161438|2018.495890410959|01006|7|2018|1
41887.91664976316|2019.495890410959|01006|7|2019|1
41656.40677687759|2000.4972677595629|01007|7|2000|1
41660.13265490284|2001.495890410959|01007|7|2001|1
41663.863671839055|2002.495890410959|01007|7|2002|1
41667.59468877528|2003.495890410959|01007|7|2003|1
41671.33084462246|2004.4972677595629|01007|7|2004|1
41675.056722647714|2005.495890410959|01007|7|2005|1
41678.78773958393|2006.495890410959|01007|7|2006|1
41682.51875652015|2007.495890410959|01007|7|2007|1
41686.25491236734|2008.4972677595629|01007|7|2008|1
41689.98079039258|2009.495890410959|01007|7|2009|1
49156.211624507574|2010.495890410959|01007|7|2010|1
49160.27704267941|2011.495890410959|01007|7|2011|1
49164.348060349286|2012.4972677595629|01007|7|2012|1
49168.40787902308|2013.495890410959|01007|7|2013|1
49172.47329719491|2014.495890410959|01007|7|2014|1
49176.53871536675|2015.495890410959|01007|7|2015|1
49180.609733036625|2016.4972677595629|01007|7|2016|1
49184.669551710416|2017.495890410959|01007|7|2017|1
49188.73496988225|2018.495890410959|01007|7|2018|1
49192.800388054085|2019.495890410959|01007|7|2019|1
7244.224866747931|2000.4972677595629|01008|7|2000|1
7244.820431039662|2001.495890410959|01008|7|2001|1
7245.416816762436|2002.495890410959|01008|7|2002|1
7246.013202485209|2003.495890410959|01008|7|2003|1
7246.610409639025|2004.4972677595629|01008|7|2004|1
7247.205973930757|2005.495890410959|01008|7|2005|1
7247.80235965353|2006.495890410959|01008|7|2006|1
7248.398745376304|2007.495890410959|01008|7|2007|1
7248.99595253012|2008.4972677595629|01008|7|2008|1
7249.591516821852|2009.495890410959|01008|7|2009|1
8443.028575621442|2010.495890410959|01008|7|2010|1
8443.577528349137|2011.495890410959|01008|7|2011|1
8444.127237176106|2012.4972677595629|01008|7|2012|1
8444.675433804528|2013.495890410959|01008|7|2013|1
8445.224386532225|2014.495890410959|01008|7|2014|1
8445.77333925992|2015.495890410959|01008|7|2015|1
8446.32304808689|2016.4972677595629|01008|7|2016|1
8446.871244715312|2017.495890410959|01008|7|2017|1
8447.420197443007|2018.495890410959|01008|7|2018|1
8447.969150170702|2019.495890410959|01008|7|2019|1
16508.592642972028|2000.4972677595629|01009|7|2000|1
16510.162270296358|2001.495890410959|01009|7|2001|1
16511.73406252652|2002.495890410959|01009|7|2002|1
16513.305854756683|2003.495890410959|01009|7|2003|1
16514.87981189268|2004.4972677595629|01009|7|2004|1
16516.44943921701|2005.495890410959|01009|7|2005|1
16518.02123144717|2006.495890410959|01009|7|2006|1
16519.59302367733|2007.495890410959|01009|7|2007|1
16521.16698081333|2008.4972677595629|01009|7|2008|1
16522.736608137657|2009.495890410959|01009|7|2009|1
19668.072585685844|2010.495890410959|01009|7|2010|1
19669.466994913906|2011.495890410959|01009|7|2011|1
19670.86332472957|2012.4972677595629|01009|7|2012|1
19672.255813370026|2013.495890410959|01009|7|2013|1
19673.650222598084|2014.495890410959|01009|7|2014|1
19675.044631826146|2015.495890410959|01009|7|2015|1
19676.44096164181|2016.4972677595629|01009|7|2016|1
19677.833450282265|2017.495890410959|01009|7|2017|1
19679.227859510327|2018.495890410959|01009|7|2018|1
19680.622268738385|2019.495890410959|01009|7|2019|1
15327.65659590034|2000.4972677595629|01010|7|2000|1
15329.395603894793|2001.495890410959|01010|7|2001|1
15331.137010413084|2002.495890410959|01010|7|2002|1
15332.878416931375|2003.495890410959|01010|7|2003|1
15334.622221973503|2004.4972677595629|01010|7|2004|1
15336.361229967957|2005.495890410959|01010|7|2005|1
15338.102636486246|2006.495890410959|01010|7|2006|1
15339.844043004538|2007.495890410959|01010|7|2007|1
15341.587848046665|2008.4972677595629|01010|7|2008|1
15343.32685604112|2009.495890410959|01010|7|2009|1
18828.052178208673|2010.495890410959|01010|7|2010|1
18829.054549059518|2011.495890410959|01010|7|2011|1
18830.05830052445|2012.4972677595629|01010|7|2012|1
18831.0592907612|2013.495890410959|01010|7|2013|1
18832.061661612042|2014.495890410959|01010|7|2014|1
18833.064032462884|2015.495890410959|01010|7|2015|1
18834.067783927818|2016.4972677595629|01010|7|2016|1
18835.068774164567|2017.495890410959|01010|7|2017|1
18836.07114501541|2018.495890410959|01010|7|2018|1
18837.07351586625|2019.495890410959|01010|7|2019|1
20068.945022971446|2000.4972677595629|01011|7|2000|1
20076.74497799484|2001.495890410959|01011|7|2001|1
20084.555691093017|2002.495890410959|01011|7|2002|1
20092.366404191198|2003.495890410959|01011|7|2003|1
20100.187875364154|2004.4972677595629|01011|7|2004|1
20107.987830387552|2005.495890410959|01011|7|2005|1
20115.79854348573|2006.495890410959|01011|7|2006|1
20123.609256583906|2007.495890410959|01011|7|2007|1
20131.430727756866|2008.4972677595629|01011|7|2008|1
20139.230682780264|2009.495890410959|01011|7|2009|1
35769.67581731215|2010.495890410959|01011|7|2010|1
35782.65862357184|2011.495890410959|01011|7|2011|1
35795.659311681615|2012.4972677595629|01011|7|2012|1
35808.62423609124|2013.495890410959|01011|7|2013|1
35821.60704235093|2014.495890410959|01011|7|2014|1
35834.58984861063|2015.495890410959|01011|7|2015|1
35847.590536720396|2016.4972677595629|01011|7|2016|1
35860.55546113002|2017.495890410959|01011|7|2017|1
35873.53826738971|2018.495890410959|01011|7|2018|1
35886.52107364941|2019.495890410959|01011|7|2019|1
370748.02009725454|2000.4972677595629|02001|7|2000|1
370795.7467022643|2001.495890410959|02001|7|2001|1
370843.53913411335|2002.495890410959|02001|7|2002|1
370891.33156596235|2003.495890410959|02001|7|2003|1
370939.18982465065|2004.4972677595629|02001|7|2004|1
370986.9164296604|2005.495890410959|02001|7|2005|1
371034.70886150945|2006.495890410959|02001|7|2006|1
371082.50129335845|2007.495890410959|02001|7|2007|1
371130.3595520468|2008.4972677595629|02001|7|2008|1
